Timestamp,Device Type,Channel,Type,Value
2024-11-03 17:09:50,DI-1100,0,CH-2,0.0244140625
2024-11-03 17:09:50,DI-1100,0,CH-3,0.01953125
2024-11-03 17:09:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:09:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:09:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:09:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:09:51,DI-245,2,K,25.381678999999963
2024-11-03 17:09:51,DI-245,2,K,-199.99782400000004
2024-11-03 17:09:51,DI-245,2,K,-199.99782400000004
2024-11-03 17:09:51,DI-245,2,K,-199.99782400000004
2024-11-03 17:10:50,DI-1100,0,CH-0,-0.009765625
2024-11-03 17:10:50,DI-1100,0,CH-1,-0.0048828125
2024-11-03 17:10:50,DI-1100,0,CH-2,0.0244140625
2024-11-03 17:10:50,DI-1100,0,CH-3,0.0
2024-11-03 17:10:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:10:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:10:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:10:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:10:51,DI-245,2,K,25.381678999999963
2024-11-03 17:10:51,DI-245,2,K,-199.99782400000004
2024-11-03 17:10:51,DI-245,2,K,-199.99782400000004
2024-11-03 17:10:51,DI-245,2,K,-199.99782400000004
2024-11-03 17:11:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:11:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:11:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:11:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:11:52,DI-245,2,K,25.28573199999994
2024-11-03 17:11:52,DI-245,2,K,-199.99782400000004
2024-11-03 17:11:52,DI-245,2,K,-199.99782400000004
2024-11-03 17:11:52,DI-245,2,K,-199.99782400000004
2024-11-03 17:12:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:12:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:12:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:12:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:12:52,DI-245,2,K,25.381678999999963
2024-11-03 17:12:52,DI-245,2,K,-199.99782400000004
2024-11-03 17:12:52,DI-245,2,K,-199.99782400000004
2024-11-03 17:12:52,DI-245,2,K,-199.99782400000004
2024-11-03 17:13:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:13:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:13:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:13:51,DI-245,1,K,-199.99782400000004
2024-11-03 17:13:53,DI-245,2,K,25.28573199999994
2024-11-03 17:13:53,DI-245,2,K,-199.99782400000004
2024-11-03 17:13:53,DI-245,2,K,-199.99782400000004
2024-11-03 17:13:53,DI-245,2,K,-199.99782400000004
2024-11-03 17:15:44,DI-1100,0,CH-0,0.0
2024-11-03 17:15:44,DI-1100,0,CH-1,0.009765625
2024-11-03 17:15:44,DI-1100,0,CH-2,0.0146484375
2024-11-03 17:15:44,DI-1100,0,CH-3,0.0146484375
2024-11-03 17:15:44,DI-245,1,K,-199.99782400000004
2024-11-03 17:15:44,DI-245,1,K,-199.99782400000004
2024-11-03 17:15:44,DI-245,1,K,-199.99782400000004
2024-11-03 17:15:44,DI-245,1,K,-199.99782400000004
2024-11-03 17:15:44,DI-245,2,K,25.28573199999994
2024-11-03 17:15:44,DI-245,2,K,-199.99782400000004
2024-11-03 17:15:44,DI-245,2,K,-199.99782400000004
2024-11-03 17:15:44,DI-245,2,K,-199.99782400000004
2024-11-03 17:16:44,DI-1100,0,CH-0,-0.01953125
2024-11-03 17:16:44,DI-1100,0,CH-1,0.0
2024-11-03 17:16:44,DI-1100,0,CH-2,0.009765625
2024-11-03 17:16:44,DI-1100,0,CH-3,0.0146484375
2024-11-03 17:16:45,DI-245,1,K,-199.99782400000004
2024-11-03 17:16:45,DI-245,1,K,-199.99782400000004
2024-11-03 17:16:45,DI-245,1,K,-199.99782400000004
2024-11-03 17:16:45,DI-245,1,K,-199.99782400000004
2024-11-03 17:16:45,DI-245,2,K,25.381678999999963
2024-11-03 17:16:45,DI-245,2,K,-199.99782400000004
2024-11-03 17:16:45,DI-245,2,K,-199.99782400000004
2024-11-03 17:16:45,DI-245,2,K,-199.99782400000004
2024-11-03 17:17:44,DI-1100,0,CH-0,0.0390625
2024-11-03 17:17:44,DI-1100,0,CH-1,0.009765625
2024-11-03 17:17:44,DI-1100,0,CH-2,0.0244140625
2024-11-03 17:17:44,DI-1100,0,CH-3,0.0146484375
2024-11-03 17:17:45,DI-245,1,K,-199.99782400000004
2024-11-03 17:17:45,DI-245,1,K,-199.99782400000004
2024-11-03 17:17:45,DI-245,1,K,-199.99782400000004
2024-11-03 17:17:45,DI-245,1,K,-199.99782400000004
2024-11-03 17:17:45,DI-245,2,K,23.846526999999924
2024-11-03 17:17:45,DI-245,2,K,-199.99782400000004
2024-11-03 17:17:45,DI-245,2,K,-199.99782400000004
2024-11-03 17:17:45,DI-245,2,K,-199.99782400000004
2024-11-03 17:18:44,DI-1100,0,CH-0,0.01953125
2024-11-03 17:18:44,DI-1100,0,CH-1,0.0
2024-11-03 17:18:44,DI-1100,0,CH-2,0.048828125
2024-11-03 17:18:44,DI-1100,0,CH-3,0.0146484375
2024-11-03 17:18:45,DI-245,1,K,-199.99782400000004
2024-11-03 17:18:45,DI-245,1,K,-199.99782400000004
2024-11-03 17:18:45,DI-245,1,K,-199.99782400000004
2024-11-03 17:18:45,DI-245,1,K,-199.99782400000004
2024-11-03 17:18:46,DI-245,2,K,23.846526999999924
2024-11-03 17:18:46,DI-245,2,K,-199.99782400000004
2024-11-03 17:18:46,DI-245,2,K,-199.99782400000004
2024-11-03 17:18:46,DI-245,2,K,-199.99782400000004
2024-11-03 17:19:46,DI-245,1,K,-199.99782400000004
2024-11-03 17:19:46,DI-245,1,K,-199.99782400000004
2024-11-03 17:19:46,DI-245,1,K,-199.99782400000004
2024-11-03 17:19:46,DI-245,1,K,-199.99782400000004
2024-11-03 17:19:46,DI-245,2,K,23.846526999999924
2024-11-03 17:19:46,DI-245,2,K,-199.99782400000004
2024-11-03 17:19:46,DI-245,2,K,-199.99782400000004
2024-11-03 17:19:46,DI-245,2,K,-199.99782400000004
2024-11-03 17:20:46,DI-245,1,K,-199.99782400000004
2024-11-03 17:20:46,DI-245,1,K,-199.99782400000004
2024-11-03 17:20:46,DI-245,1,K,-199.99782400000004
2024-11-03 17:20:46,DI-245,1,K,-199.99782400000004
2024-11-03 17:20:47,DI-245,2,K,23.846526999999924
2024-11-03 17:20:47,DI-245,2,K,-199.99782400000004
2024-11-03 17:20:47,DI-245,2,K,-199.99782400000004
2024-11-03 17:20:47,DI-245,2,K,-199.99782400000004
2024-11-03 17:21:50,DI-245,2,K,23.750580000000014
2024-11-03 17:21:50,DI-245,2,K,-199.99782400000004
2024-11-03 17:21:50,DI-245,2,K,-199.99782400000004
2024-11-03 17:21:50,DI-245,2,K,-199.99782400000004
2024-11-03 17:21:50,DI-1100,0,CH-0,0.0
2024-11-03 17:21:50,DI-1100,0,CH-1,0.0
2024-11-03 17:21:50,DI-1100,0,CH-2,0.0390625
2024-11-03 17:21:50,DI-1100,0,CH-3,0.0
2024-11-03 17:21:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:21:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:21:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:21:50,DI-245,1,K,-199.99782400000004
2024-11-03 17:22:50,DI-245,2,K,23.846526999999924
2024-11-03 17:22:50,DI-245,2,K,-199.99782400000004
2024-11-03 17:22:50,DI-245,2,K,-199.99782400000004
2024-11-03 17:22:50,DI-245,2,K,-199.99782400000004
2024-11-03 17:22:50,DI-1100,0,CH-0,0.0439453125
2024-11-03 17:22:50,DI-1100,0,CH-1,0.01953125
